name,slug,region,location,homepage,status,lat,lng,soundtap_url
WGTB,wgtb,North America,,,,38.91,-77.075355,http://soundtap.com/wgtb/
WGUR,wgur,North America,,,,33.325797,-83.388815,http://soundtap.com/wgur/
WGXC,wgxc,North America,,,,42.3292408,-75.7699147,http://soundtap.com/wgxc/
WHEI,whei,North America,,,,41.1144992,-83.1779746,http://soundtap.com/whei/
WHFR,whfr,North America,,,,42.3222599,-83.1763145,http://soundtap.com/whfr/
WHPK,whpk,North America,,,,41.790759,-87.598245,http://soundtap.com/whpk/
WHRB,whrb,North America,,,,42.371933,-71.113499,http://soundtap.com/whrb/
WHRT,whrt,North America,,,,41.1408363,-73.2612615,http://soundtap.com/whrt/
WHRV,whrv,North America,,,,36.8507689,-76.2858726,http://soundtap.com/whrv/
WHRW,whrw,North America,,,,42.089758,-75.917242,http://soundtap.com/whrw/
WHUR,whur,North America,,,,38.9071923,-77.0368707,http://soundtap.com/whur/
WHWS,whws,North America,,,,42.880701,-76.982099,http://soundtap.com/whws/
WHYNOT Radio,whynotradio,North America,,,,39.941175,-75.149166,http://soundtap.com/whynotradio/
WICB,wicb,North America,,,,42.449936,-76.48107,http://soundtap.com/wicb/
WICN,wicn,North America,,,,42.259932,-71.80209,http://soundtap.com/wicn/
WIDB,widb,North America,,,,37.7272727,-89.2167501,http://soundtap.com/widb/
WIDR,widr,North America,,,,42.286581,-85.573698,http://soundtap.com/widr/
WITR,witr,North America,,,,43.084236,-77.674633,http://soundtap.com/witr/
WIUP,wiup,North America,,,,40.615795,-79.161209,http://soundtap.com/wiup/
WIUV,wiuv,North America,,,,43.608122,-73.181221,http://soundtap.com/wiuv/
WIWU,wiwu,North America,,,,40.521849,-85.665931,http://soundtap.com/wiwu/
WIXQ,wixq,North America,,,,39.9959936,-76.3535986,http://soundtap.com/wixq/
WJAB,wjab,North America,,,,34.7303688,-86.5861037,http://soundtap.com/wjab/
WJCU,wjcu,North America,,,,41.46248,-81.850771,http://soundtap.com/wjcu/
WJHK,wjhk,North America,,,,38.9716689,-95.2352501,http://soundtap.com/wjhk/
WJHU,wjhu,North America,,,,39.2903848,-76.6121893,http://soundtap.com/wjhu/
WJJW,wjjw,North America,,,,42.690915,-73.103992,http://soundtap.com/wjjw/
WJMF,wjmf,North America,,,,41.91914,-71.538366,http://soundtap.com/wjmf/
WJTB,wjtb,North America,,,,40.735657,-74.1723667,http://soundtap.com/wjtb/
WKCO,wkco,North America,,,,40.373675,-82.395715,http://soundtap.com/wkco/
WKCR,wkcr,North America,,,,40.7127837,-74.0059413,http://soundtap.com/wkcr/
WKDU,wkdu,North America,,,,39.9525839,-75.1652215,http://soundtap.com/wkdu/
WKMS,wkms,North America,,,,36.92172,-88.097248,http://soundtap.com/wkms/
WKNC,wknc,North America,,,,35.7795897,-78.6381787,http://soundtap.com/wknc/
WKRB,wkrb,North America,,,,40.65,-73.95,http://soundtap.com/wkrb/
WLFC,wlfc,North America,,,,41.052504,-83.651737,http://soundtap.com/wlfc/
WLFR,wlfr,North America,,,,39.491618,-74.531454,http://soundtap.com/wlfr/
WLOY,wloy,North America,,,,39.2903848,-76.6121893,http://soundtap.com/wloy/
WLRA,wlra,North America,,,,41.6475306,-88.0895061,http://soundtap.com/wlra/
WLSO,wlso,North America,,,,46.521858,-84.3460896,http://soundtap.com/wlso/
WLUR,wlur,North America,,,,37.788187,-79.443093,http://soundtap.com/wlur/
WLUW,wluw,North America,,,,41.897543,-87.625417,http://soundtap.com/wluw/
WLVR,wlvr,North America,,,,40.60623,-75.379053,http://soundtap.com/wlvr/
WMBC,wmbc,North America,,,,39.2903848,-76.6121893,http://soundtap.com/wmbc/
WMBR,wmbr,North America,,,,42.359362,-71.088299,http://soundtap.com/wmbr/
WMFO,wmfo,North America,,,,42.406897,-71.116504,http://soundtap.com/wmfo/
WMHW,wmhw,North America,,,,43.586266,-84.773843,http://soundtap.com/wmhw/
WMKV,wmkv,North America,,,,39.275715,-84.47968,http://soundtap.com/wmkv/
WMNF,wmnf,North America,,,,27.981712,-82.446057,http://soundtap.com/wmnf/
WMNJ,wmnj,North America,,,,40.760027,-74.425912,http://soundtap.com/wmnj/
WMRE,wmre,North America,,,,33.7489954,-84.3879824,http://soundtap.com/wmre/
WMSC,wmsc,North America,,,,40.864822,-74.200423,http://soundtap.com/wmsc/
WMSE,wmse,North America,,,,43.04173,-87.906706,http://soundtap.com/wmse/
WMSV,wmsv,North America,,,,33.454425,-88.791838,http://soundtap.com/wmsv/
WMTU,wmtu,North America,,,,47.11364,-88.548123,http://soundtap.com/wmtu/
WMUC,wmuc,North America,,,,38.983064,-76.943947,http://soundtap.com/wmuc/
WMUH,wmuh,North America,,,,40.597392,-75.510165,http://soundtap.com/wmuh/
WMUL,wmul,North America,,,,38.4192496,-82.445154,http://soundtap.com/wmul/
WMWM,wmwm,North America,,,,42.503985,-70.890048,http://soundtap.com/wmwm/
WMXM,wmxm,North America,,,,42.250023,-87.829236,http://soundtap.com/wmxm/
WNAA,wnaa,North America,,,,36.077913,-79.771975,http://soundtap.com/wnaa/
WNCW,wncw,North America,,,,35.35496,-81.92793,http://soundtap.com/wncw/
WNKU,wnku,North America,,,,39.039228,-84.465775,http://soundtap.com/wnku/
WNUR,wnur,North America,,,,41.8781136,-87.6297982,http://soundtap.com/wnur/
WNYC,wnyc,North America,,,,40.726765,-74.005418,http://soundtap.com/wnyc/
WNYU,wnyu,North America,,,,40.726304,-73.996767,http://soundtap.com/wnyu/
WOAS,woas,North America,,,,46.874941,-89.300141,http://soundtap.com/woas/
WOBC,wobc,North America,,,,41.2939386,-82.2173786,http://soundtap.com/wobc/
WOBO,wobo,North America,,,,39.062522,-84.098791,http://soundtap.com/wobo/
WONC,wonc,North America,,,,41.769968,-88.144388,http://soundtap.com/wonc/
WONY,wony,North America,,,,42.467301,-75.060719,http://soundtap.com/wony/
WOOL,wool,North America,,,,42.924877,-72.306039,http://soundtap.com/wool/
WORT,wort,North America,,,,43.067368,-89.3907,http://soundtap.com/wort/
WPCD,wpcd,North America,,,,40.125587,-88.291441,http://soundtap.com/wpcd/
WPFK,wpfk,North America,,,,38.248219,-85.757906,http://soundtap.com/wpfk/
WPFW,wpfw,North America,,,,38.922306,-77.041433,http://soundtap.com/wpfw/
WPHS,wphs,North America,,,,42.519834,-83.009909,http://soundtap.com/wphs/
WPIR,wpir,North America,,,,40.65,-73.95,http://soundtap.com/wpir/
